omega,V
107.30965482741371,-838410796.190696
107.55577788894448,-841854417.111655
107.80190095047524,-845302195.918194
108.048024012006,-848754106.995114
108.29414707353676,-852210124.668672
108.54027013506753,-855670223.206571
108.7863931965983,-859134376.817968
109.03251625812906,-862602559.653470
109.27863931965983,-866074745.805135
109.5247623811906,-869550909.306473
109.77088544272137,-873031024.132442
110.01700850425212,-876515064.199455
110.26313156578288,-880003003.365373
110.50925462731365,-883494815.429510
110.75537768884442,-886990474.132629
111.00150075037519,-890489953.156945
111.24762381190595,-893993226.126124
111.49374687343672,-897500266.605284
111.73986993496749,-901011048.100991
111.98599299649825,-904525544.061265
112.232116058029,-908043727.875575
112.47823911955977,-911565572.874843
112.72436218109054,-915091052.331441
112.97048524262131,-918620139.459190
113.21660830415207,-922152807.413365
113.46273136568284,-925689029.290691
113.70885442721361,-929228778.129343
113.95497748874438,-932772026.908948
114.20110055027514,-936318748.550583
114.4472236118059,-939868915.916778
114.69334667333666,-943422501.811511
114.93946973486743,-946979478.980214
115.1855927963982,-950539820.109768
115.43171585792896,-954103497.828506
115.67783891945973,-957670484.706211
115.9239619809905,-961240753.254117
116.17008504252126,-964814275.924911
116.41620810405202,-968391025.112728
116.66233116558278,-971970973.153156
116.90845422711355,-975554092.323234
117.15457728864432,-979140354.841452
117.40070035017509,-982729732.867748
117.64682341170585,-986322198.503515
117.89294647323662,-989917723.791595
118.13906953476739,-993516280.716282
118.38519259629815,-997117841.203319
118.6313156578289,-1000722377.11990
118.87743871935967,-1004329860.27468
119.12356178089044,-1007940262.41774
119.36968484242121,-1011553555.24065
119.61580790395197,-1015169710.37639
119.86193096548274,-1018788699.39941
120.10805402701351,-1022410493.82563
120.35417708854428,-1026035065.11239
120.60030015007504,-1029662384.65848
120.8464232116058,-1033292423.80418
121.09254627313656,-1036925153.83118
121.33866933466733,-1040560545.96264
121.5847923961981,-1044198571.36316
121.83091545772886,-1047839201.13881
122.07703851925963,-1051482406.33709
122.3231615807904,-1055128157.94697
122.56928464232116,-1058776426.89884
122.81540770385192,-1062427184.06459
123.06153076538268,-1066080400.25751
123.30765382691345,-1069736046.23237
123.55377688844422,-1073394092.68540
123.79989994997499,-1077054510.25424
124.04602301150575,-1080717269.51803
124.29214607303652,-1084382340.99732
124.53826913456729,-1088049695.15414
124.78439219609805,-1091719302.39195
125.0305152576288,-1095391133.05568
125.27663831915957,-1099065157.43171
125.52276138069034,-1102741345.74784
125.76888444222111,-1106419668.17336
126.01500750375187,-1110100094.81898
126.26113056528264,-1113782595.73690
126.50725362681341,-1117467140.92072
126.75337668834418,-1121153700.30554
126.99949974987494,-1124842243.76787
127.2456228114057,-1128532741.12570
127.49174587293646,-1132225162.13846
127.73786893446723,-1135919476.50703
127.983991995998,-1139615653.87374
128.23011505752876,-1143313663.82237
128.47623811905953,-1147013475.87817
128.7223611805903,-1150715059.50781
128.96848424212106,-1154418384.11944
129.21460730365183,-1158123419.06263
129.4607303651826,-1161830133.62843
129.70685342671337,-1165538497.04933
129.95297648824413,-1169248478.49926
130.1990995497749,-1172960047.09363
130.44522261130564,-1176673171.88926
130.6913456728364,-1180387821.88446
130.93746873436717,-1184103966.01897
131.18359179589794,-1187821573.17398
131.4297148574287,-1191540612.17214
131.67583791895947,-1195261051.77754
131.92196098049024,-1198982860.69575
132.168084042021,-1202706007.57374
132.41420710355177,-1206430460.99998
132.66033016508254,-1210156189.50437
132.9064532266133,-1213883161.55825
133.15257628814408,-1217611345.57444
133.39869934967484,-1221340709.90717
133.6448224112056,-1225071222.85217
133.89094547273638,-1228802852.64658
134.13706853426714,-1232535567.46902
134.3831915957979,-1236269335.43953
134.62931465732865,-1240004124.61964
134.87543771885942,-1243739903.01229
135.12156078039018,-1247476638.56191
135.36768384192095,-1251214299.15434
135.61380690345172,-1254952852.61691
135.85992996498248,-1258692266.71838
136.10605302651325,-1262432509.16896
136.35217608804402,-1266173547.62032
136.59829914957479,-1269915349.66558
136.84442221110555,-1273657882.83929
137.09054527263632,-1277401114.61750
137.3366683341671,-1281145012.41765
137.58279139569785,-1284889543.59867
137.82891445722862,-1288634675.46094
138.0750375187594,-1292380375.24628
138.32116058029015,-1296126610.13796
138.56728364182092,-1299873347.26070
138.8134067033517,-1303620553.68068
139.05952976488243,-1307368196.40552
139.3056528264132,-1311116242.38432
139.55177588794396,-1314864658.50758
139.79789894947473,-1318613411.60730
140.0440220110055,-1322362468.45690
140.29014507253626,-1326111795.77126
140.53626813406703,-1329861360.20672
140.7823911955978,-1333611128.36107
141.02851425712856,-1337361066.77352
141.27463731865933,-1341111141.92478
141.5207603801901,-1344861320.23697
141.76688344172086,-1348611568.07368
142.01300650325163,-1352361851.73995
142.2591295647824,-1356112137.48228
142.50525262631317,-1359862391.48860
142.75137568784393,-1363612579.88830
142.9974987493747,-1367362668.75222
143.24362181090544,-1371112624.09266
143.4897448724362,-1374862411.86336
143.73586793396697,-1378611997.95952
143.98199099549774,-1382361348.21778
144.2281140570285,-1386110428.41624
144.47423711855927,-1389859204.27445
144.72036018009004,-1393607641.45341
144.9664832416208,-1397355705.55557
145.21260630315157,-1401103362.12482
145.45872936468234,-1404850576.64652
145.7048524262131,-1408597314.54747
145.95097548774388,-1412343541.19594
146.19709854927464,-1416089221.90161
146.4432216108054,-1419834321.91565
146.68934467233618,-1423578806.43067
146.93546773386694,-1427322640.58071
147.1815907953977,-1431065789.44130
147.42771385692845,-1434808218.02939
147.67383691845922,-1438549891.30340
147.91995997998998,-1442290774.16317
148.16608304152075,-1446030831.45003
148.41220610305152,-1449770027.94675
148.65832916458228,-1453508328.37752
148.90445222611305,-1457245697.40803
149.15057528764382,-1460982099.64538
149.39669834917459,-1464717499.63815
149.64282141070535,-1468451861.87635
149.88894447223612,-1472185150.79146
150.1350675337669,-1475917330.75639
150.38119059529765,-1479648366.08551
150.62731365682842,-1483378221.03465
150.8734367183592,-1487106859.80108
151.11955977988995,-1490834246.52353
151.36568284142072,-1494560345.28217
151.6118059029515,-1498285120.09862
151.85792896448223,-1502008534.93597
152.104052026013,-1505730553.69875
152.35017508754376,-1509451140.23292
152.59629814907453,-1513170258.32593
152.8424212106053,-1516887871.70665
153.08854427213606,-1520603944.04542
153.33466733366683,-1524318438.95402
153.5807903951976,-1528031319.98569
153.82691345672836,-1531742550.63510
154.07303651825913,-1535452094.33840
154.3191595797899,-1539159914.47317
154.56528264132066,-1542865974.35845
154.81140570285143,-1546570237.25474
155.0575287643822,-1550272666.36396
155.30365182591297,-1553973224.82951
155.54977488744373,-1557671875.73624
155.7958979489745,-1561368582.11044
156.04202101050524,-1565063306.91984
156.288144072036,-1568756013.07365
156.53426713356677,-1572446663.42251
156.78039019509754,-1576135220.75852
157.0265132566283,-1579821647.81523
157.27263631815907,-1583505907.26764
157.51875937968984,-1587187961.73219
157.7648824412206,-1590867773.76678
158.01100550275137,-1594545305.87077
158.25712856428214,-1598220520.48497
158.5032516258129,-1601893379.99162
158.74937468734367,-1605563846.71443
158.99549774887444,-1609231882.91856
159.2416208104052,-1612897450.81060
159.48774387193598,-1616560512.53863
159.73386693346674,-1620221030.19215
159.9799899949975,-1623878965.80212
160.22611305652825,-1627534281.34094
160.47223611805902,-1631186938.72249
160.71835917958978,-1634836899.80207
160.96448224112055,-1638484126.37645
161.21060530265132,-1642128580.18384
161.45672836418208,-1645770222.90390
161.70285142571285,-1649409016.15777
161.94897448724362,-1653044921.50799
162.19509754877438,-1656677900.45859
162.44122061030515,-1660307914.45504
162.68734367183592,-1663934924.88427
162.93346673336669,-1667558893.07463
163.17958979489745,-1671179780.29596
163.42571285642822,-1674797547.75953
163.671835917959,-1678412156.61806
163.91795897948975,-1682023567.96572
164.16408204102052,-1685631742.83815
164.4102051025513,-1689236642.21242
164.65632816408203,-1692838227.00706
164.9024512256128,-1696436458.08205
165.14857428714356,-1700031296.23881
165.39469734867433,-1703622702.22024
165.6408204102051,-1707210636.71066
165.88694347173586,-1710795060.33586
166.13306653326663,-1714375933.66306
166.3791895947974,-1717953217.20096
166.62531265632816,-1721526871.39969
166.87143571785893,-1725096856.65084
167.1175587793897,-1728663133.28744
167.36368184092046,-1732225661.58399
167.60980490245123,-1735784401.75643
167.855927963982,-1739339313.96214
168.10205102551276,-1742890358.29997
168.34817408704353,-1746437494.81021
168.5942971485743,-1749980683.47461
168.84042021010504,-1753519884.21636
